sys_updated_at,name,source,source_url,standard_province,standard_prefecture,standard_county,address,x,y,confirmed
2020-02-05 15:27:59.234363+08,福祥街2号1栋,腾讯看点,https://ncov.html5.qq.com/community,广东省,深圳市,罗湖区,广东省深圳市福田区华强北街道福祥街2号1栋,114.121251,22.536149,-1
2020-02-05 15:49:00.144631+08,桂城街道景裕豪园,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,佛山市,南海区,广东省佛山南海区桂城街道景裕豪园,113.137957,23.066763,1
2020-02-05 15:33:17.514231+08,蓝天金地花园,腾讯看点,https://ncov.html5.qq.com/community,广东省,中山市,,广东省中山市黄圃镇蓝天金地花园,113.338211,22.722837,1
2020-02-05 15:29:46.42364+08,梅松路51号,腾讯看点,https://ncov.html5.qq.com/community,广东省,梅州市,梅江区,广东省梅州市梅江区梅松路51号东厢市场,116.122037,24.320877,1
2020-02-05 15:45:21.97858+08,龙城街道万象天成,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,龙岗区,广东省深圳龙岗区龙城街道万象天成,114.253667,22.722732,-1
2020-02-05 15:18:09.997233+08,白水湖街道,腾讯看点,https://ncov.html5.qq.com/community,江西省,九江市,浔阳区,江西省九江市浔阳区白水湖街道,116.008785,29.720381,5
2020-02-05 15:19:12.103212+08,高新区,腾讯看点,https://ncov.html5.qq.com/community,江苏省,南通市,海安市,江苏省南通市海安市高新区,120.438904,32.517204,1
2020-02-05 15:40:03.300632+08,云锡花园,腾讯看点,https://ncov.html5.qq.com/community,云南省,昆明市,盘龙区,云南省昆明市盘龙区云锡花园,102.737742,25.072721,1
2020-02-05 15:44:33.2846+08,蛇口街道东角头港湾花园,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,南山区,广东省深圳南山区蛇口街道东角头港湾花园,113.934653,22.486438,-1
2020-02-05 14:59:09.167443+08,蔡家坡村,腾讯看点,https://ncov.html5.qq.com/community,湖南省,常德市,澧县,湖南省常德市澧县盐井镇蔡家坡村,111.687449,29.863134,1
2020-02-05 15:21:03.125899+08,龙城街道东方沁园,腾讯看点,https://ncov.html5.qq.com/community,广东省,深圳市,宝安区,广东省深圳市龙岗区龙城街道东方沁园,113.826928,22.729578,-1
2020-02-05 14:59:26.69967+08,新河西路,腾讯看点,https://ncov.html5.qq.com/community,湖南省,常德市,武陵区,湖南省常德市武陵区新河西路新河西路,111.669751,29.06504,2
2020-02-05 15:08:07.842507+08,南蒲街道办事处,腾讯看点,https://ncov.html5.qq.com/community,河南省,新乡市,长垣市,河南省新乡市长垣市南蒲街道办事处,114.661643,35.145796,1
2020-02-05 15:38:25.765664+08,白庙镇,腾讯看点,https://ncov.html5.qq.com/community,安徽省,阜阳市,临泉县,安徽省阜阳市临泉县白庙镇,115.091417,33.069704,1
2020-02-05 15:09:31.981299+08,汉华街道,腾讯看点,https://ncov.html5.qq.com/community,河南省,南阳市,新野县,河南省南阳市新野县汉华街道,112.383587,32.535185,1
